,CP_1,CP_10,CP_2,CP_3,CP_4,CP_5,CP_6,CP_7,CP_8,CP_9,NP_1,NP_10,NP_2,NP_3,NP_4,NP_5,NP_6,NP_7,NP_8,NP_9,A_1,A_10,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,FC_1,FC_10,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,AC_1,AC_10,AC_2,AC_3,AC_4,AC_5,AC_6,AC_7,AC_8,AC_9,sum_cp,sum_np,sum_a,sum_fc,sum_ac
14731,4,4,2,5,5,3,2,3,1,3,4,3,5,3,3,4,4,2,3,3,4,4,4,4,2,4,4,5,4,4,4,2,4,3,1,2,4,1,2,4,4,2,3,3,4,4,2,1,2,1,32,34,39,27,26
14930,4,3,3,3,4,3,3,4,2,2,2,2,3,2,3,4,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,3,2,3,2,3,3,3,3,2,3,3,3,3,3,4,2,3,3,3,31,28,31,27,30
14919,5,3,2,4,3,3,4,4,1,3,3,3,3,2,4,4,3,4,3,3,3,3,4,2,4,4,3,4,3,4,5,4,4,4,2,2,4,4,1,4,3,2,2,4,4,3,2,1,2,1,32,32,34,34,24
14623,3,4,2,4,4,1,1,3,1,4,4,4,5,4,4,5,4,4,4,5,4,4,5,4,3,4,2,4,4,4,4,4,5,4,1,2,4,2,2,3,4,1,3,3,3,3,2,1,3,1,27,43,38,31,24
15036,4,5,1,4,5,1,1,4,1,2,5,4,4,4,2,4,4,2,4,4,4,4,4,4,1,4,4,5,4,4,4,1,3,4,1,1,5,1,1,4,4,1,1,4,5,4,2,1,4,1,28,37,38,25,27
15062,2,3,1,4,4,3,3,2,1,2,3,3,3,3,3,3,4,2,3,3,3,3,3,4,1,3,3,4,3,3,3,3,4,3,2,2,4,1,1,3,3,2,3,2,2,3,3,2,3,1,25,30,30,26,24
15126,3,3,4,4,5,3,4,4,4,2,3,4,2,4,3,4,3,4,4,4,3,4,4,3,3,3,3,4,4,3,4,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,3,3,3,4,36,35,34,35,34
15149,2,4,2,5,4,2,2,3,1,2,4,4,4,2,3,4,4,3,2,2,4,4,4,4,2,4,4,4,4,4,4,2,1,2,3,2,3,2,2,1,3,3,2,4,4,3,3,2,3,2,27,32,38,22,29
15204,2,4,2,4,4,2,1,3,1,2,2,4,4,2,3,4,4,3,1,3,4,4,3,2,3,4,4,4,4,4,4,2,3,4,2,2,4,4,2,2,4,2,4,4,4,4,2,1,4,2,25,30,36,29,31
15222,5,4,2,5,5,3,1,3,1,2,5,4,5,3,4,4,4,4,4,4,5,5,4,4,4,5,4,4,5,4,4,3,1,5,1,2,4,1,2,4,4,2,3,4,4,5,2,3,3,2,31,41,44,27,32
15169,4,4,3,5,5,2,1,4,1,3,4,4,4,3,4,4,4,3,2,4,5,5,4,4,2,4,4,4,4,4,5,2,3,3,2,2,4,1,1,3,5,2,2,4,4,3,2,1,2,1,32,36,40,26,26
15272,3,3,3,3,4,2,2,3,2,3,4,3,3,2,3,4,2,3,1,2,4,3,4,3,3,3,4,3,3,3,3,2,3,3,2,3,3,4,2,2,3,2,3,2,2,3,2,2,3,2,28,27,33,27,24
15274,2,4,3,4,4,2,2,3,1,2,3,3,3,2,3,3,3,3,1,3,4,4,4,4,3,4,3,4,3,3,4,2,4,3,3,3,2,1,3,3,4,2,2,3,4,4,2,2,2,1,27,27,36,28,26
15244,5,4,3,4,3,2,2,3,2,2,4,4,4,2,4,4,4,4,2,3,4,4,4,2,2,3,2,4,3,4,4,4,5,4,3,3,3,3,3,3,3,3,4,4,5,4,3,3,2,3,30,35,32,35,34
15289,3,4,2,4,4,1,2,2,1,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,5,2,5,4,4,4,4,4,3,2,3,5,1,1,4,4,4,3,4,4,4,2,2,3,2,25,39,37,31,32
15291,3,4,2,4,5,2,3,3,1,2,4,3,3,3,3,4,4,3,2,3,4,4,4,3,2,4,4,4,4,4,4,2,2,4,2,2,3,2,1,2,3,2,2,2,4,3,2,1,3,1,29,32,37,24,23
15304,3,3,4,4,3,4,3,4,1,3,4,4,4,3,3,5,2,3,3,3,4,4,4,4,3,4,4,4,3,3,4,2,3,3,2,1,4,2,2,3,3,2,3,4,4,4,4,2,3,2,32,34,37,26,31
15361,2,3,1,4,3,1,3,3,1,1,4,2,4,2,2,3,4,2,3,3,3,3,4,3,3,3,3,3,2,4,3,4,3,4,3,3,4,3,2,4,3,3,2,2,3,3,2,2,4,4,22,29,31,33,28
15395,3,4,3,4,4,2,2,3,1,3,4,4,3,4,3,3,3,2,2,3,3,4,4,4,3,4,3,3,3,4,4,3,3,3,2,2,4,2,2,3,4,3,4,3,4,4,2,2,3,2,29,31,35,28,31
15400,2,3,2,4,4,2,2,3,2,2,4,4,3,3,2,4,4,3,2,4,4,4,3,4,2,3,4,4,4,4,4,2,3,4,3,2,4,4,2,3,3,3,2,2,2,3,2,2,3,3,26,33,36,31,25
15426,3,4,3,4,4,3,2,3,2,2,4,2,4,2,3,4,3,2,3,2,4,3,4,4,3,4,4,4,4,4,3,3,3,3,3,2,4,2,2,3,3,3,3,3,4,4,2,2,3,2,30,29,38,28,29
15396,3,4,3,4,4,2,2,3,1,2,4,4,3,3,3,4,4,4,2,2,3,4,4,3,3,4,3,4,4,4,3,2,3,5,1,2,3,1,2,3,4,1,3,3,4,4,3,1,1,1,28,33,36,25,25
15456,3,3,3,4,3,2,2,3,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,2,3,2,27,28,30,26,28
15435,4,4,3,4,4,2,3,3,2,2,4,3,4,3,4,4,3,3,3,3,4,4,4,4,3,4,4,4,3,4,3,2,2,4,3,3,3,2,2,3,3,3,3,4,4,4,3,2,3,2,31,34,38,27,31
15515,4,5,3,5,4,1,2,2,1,2,4,3,4,2,3,3,4,2,2,2,4,3,4,3,2,3,3,5,3,4,4,2,2,3,2,1,3,1,1,3,3,1,3,3,4,3,3,3,3,3,29,29,34,22,29
15541,3,4,2,5,4,1,2,1,1,3,4,4,4,3,3,3,5,3,1,4,4,4,2,2,1,3,4,4,2,3,4,3,1,3,1,2,2,1,1,2,3,2,4,4,5,4,4,1,2,2,26,34,29,20,31
